name,source,gender,wikidata,type
Agátová,wikidata,,Q472943,way
Amarelková,wikidata,,Q155848,way
Arménska,wikidata,,Q399,way
Bajkalská,wikidata,,Q5513,way
Bazová,wikidata,,Q131448,way
Betliarska,wikidata,,Q2630404,way
Bukureštská,wikidata,,Q19660,way
Chorvátska,wikidata,,Q224,way
Cyrilova,wikidata,,Q239925,way
Dunajská,wikidata,,Q1653,way
Estónska,wikidata,,Q191,way
Handlovská,wikidata,,Q842011,way
Herlianska,wikidata,,Q550565,way
Hollého,wikidata,,Q13421293,way
"Humenské námestie",wikidata,,Q502264,way
"Ivana Horvátha",wikidata,,Q12767656,way
"Jána Stanislava",wikidata,,Q12768642,way
Jaseňová,wikidata,,Q128887,way
Jasovská,wikidata,,Q719586,way
Kapušianska,wikidata,,Q1095718,way
"Kežmarské námestie",wikidata,,Q327977,way
Kosodrevinová,wikidata,,Q147475,way
Krásnohorská,wikidata,,Q592319,way
Kremnická,wikidata,,Q754776,way
Levočská,wikidata,,Q242478,way
Lipová,wikidata,,Q127849,way
Malodunajská,wikidata,,Q937294,way
Medveďovej,wikidata,,Q106407868,way
Medzilaborecká,wikidata,,Q578686,way
Michalská,wikidata,,Q45581,way
"Michalský chodník",wikidata,,Q45581,way
Moldavská,wikidata,,Q846440,way
Muškátová,wikidata,,Q146118,way
Novobanská,wikidata,,Q268463,way
Ondavská,wikidata,,Q644669,way
Poľská,wikidata,,Q36,way
Prešovská,wikidata,,Q26119,way
Rumančeková,wikidata,,Q28437,way
"Rusovská cesta",wikidata,,Q1091791,way
Sabinovská,wikidata,,Q837478,way
Šášovská,wikidata,,Q9386782,way
Sečovská,wikidata,,Q847336,way
Sitnianska,wikidata,,Q1621423,way
Šumavská,wikidata,,Q157290,way
Svidnícka,wikidata,,Q833845,way
Tabaková,wikidata,,Q1566,way
Terchovská,wikidata,,Q932854,way
Topoľová,wikidata,,Q25356,way
Trebišovská,wikidata,,Q256301,way
"Trnavská cesta",wikidata,,Q26175,way
Turčianska,wikidata,,Q2034315,way
Urpínska,wikidata,,Q4177997,way
"Viedenská cesta",wikidata,,Q1741,way
Vígľašská,wikidata,,Q15975002,way
Vranovská,wikidata,,Q842005,way
"Červený kríž",wikidata,,Q7178,way
Ľubietovská,wikidata,,Q223477,way
Žehrianska,wikidata,,Q393479,way
"1. alej",,,,way
"1. mája",,,,way
"2. alej",,,,way
"29. augusta",,,,way
"3. alej",,,,way
"4. alej",,,,way
"5. alej",,,,way
"5th Avenue",,,,way
"7. alej",,,,way
"8. alej",,,,way
"8. mája",,,,way
Achátová,,,,way
Adámiho,,,,way
"Ágosta Sőtéra",,,,way
"Akad. mal. Jozefa Nagya",,,,way
Akvamarínová,,,,way
"Aladára Radnótiho",,,,way
Albánska,,,,way
"Albertova lávka",,,,way
"Albína Brunovského",,,,way
Alejová,,,,way
Alešova,,,,way
Alibernetová,,,,way
Alstrova,,,,way
Alviano,,,,way
Alžbetínska,,,,way
"Am Bahndamm",,,,way
Ambroseho,,,,way
Ambrova,,,,way
Americká,,,,way
"Americké námestie",,,,way
Ametystová,,,,way
Amurská,,,,way
"Andreja Hadíka",,,,way
"Andreja Plávku",,,,way
Anenská,,,,way
Anízová,,,,way
Antická,,,,way
Antolská,,,,way
"Antona Durvaya",,,,way
"Antona Floreka",,,,way
"Antona Moyša",,,,way
"Art passage",,,,way
Astronomická,,,,way
Astrová,,,,way
Attidova,,,,way
"Augustína Murína",,,,way
Auréliova,,,,way
Avarská,,,,way
Azalková,,,,way
Azovská,,,,way
Azúrová,,,,way
Babuškova,,,,way
Bakošova,,,,way
Balkánska,,,,way
Baltská,,,,way
Bancíkovej,,,,way
Banícka,,,,way
Baničova,,,,way
Banšelova,,,,way
Banskobystrická,,,,way
Barancová,,,,way
Bardejovská,,,,way
Bárdošova,,,,way
"Barokový most",,,,way
Barónka,,,,way
Bartoškova,,,,way
Bartoňova,,,,way
Baštová,,,,way
Batkova,,,,way
Bazalková,,,,way
Bažantia,,,,way
Bažantnicová,,,,way
Beblavého,,,,way
Bebravská,,,,way
Beckovská,,,,way
Bedľová,,,,way
Begóniová,,,,way
Belániková,,,,way
Belehradská,,,,way
Belianska,,,,way
Belinského,,,,way
Benediktiho,,,,way
Beskydská,,,,way
Bezekova,,,,way
Beňadická,,,,way
Béžová,,,,way
Biela,,,,way
Bielkova,,,,way
Bieloruská,,,,way
Bilíkova,,,,way
Biskupická,,,,way
Blagoevova,,,,way
Blatnická,,,,way
Blatúchová,,,,way
Bleduľová,,,,way
"Blumental pasáž",,,,way
Blumentálska,,,,way
Blyskáčová,,,,way
Bobuľová,,,,way
Bociania,,,,way
Bodliaková,,,,way
Bodrocká,,,,way
Bodvianska,,,,way
Bojnická,,,,way
Borágová,,,,way
Borekova,,,,way
Borievková,,,,way
Bôrik,,,,way
Borinská,,,,way
Borovicová,,,,way
Borská,,,,way
Bosákova,,,,way
Bošániho,,,,way
Boskovičova,,,,way
Botanická,,,,way
Bočná,,,,way
Bradáčova,,,,way
Bradlianska,,,,way
Brančská,,,,way
Bratislava,,,,relation
Bratislavská,,,,way
Bratská,,,,way
Brestová,,,,way
Brezová,,,,way
Brezovská,,,,way
Brečtanová,,,,way
Brežná,,,,way
Bridlicová,,,,way
Brigádnická,,,,way
Brižitská,,,,way
Brnianska,,,,way
Brodná,,,,way
Brodská,,,,way
Bronzová,,,,way
Broskyňová,,,,way
Bršlenová,,,,way
Brumovická,,,,way
Brusnicová,,,,way
Budatínska,,,,way
Búdková,,,,way
Budovateľská,,,,way
Budyšínska,,,,way
Bujnákova,,,,way
Buková,,,,way
Bukovinská,,,,way
Bulharská,,,,way
Bulíkova,,,,way
Bullova,,,,way
Burgundská,,,,way
Buzalkova,,,,way
Bučinová,,,,way
Bylinková,,,,way
Bystrická,,,,way
"Bystrické sady",,,,way
Bzovícka,,,,way
Břeclavská,,,,way
Cabanova,,,,way
Cablkova,,,,way
Cádrova,,,,way
Cédrová,,,,way
"Central passage",,,,way
"Centrálna hviezdica",,,,way
"Cesta na Gajc",,,,way
"Cesta na Kamzík",,,,way
"Cesta na Klanec",,,,way
"Cesta na Kopáč",,,,way
"Cesta na Senec",,,,way
"Cesta na Zajačie",,,,way
"Cesta na Červený most",,,,way
"Cesta pri Biskupickom ramene",,,,way
Cezmínová,,,,way
Chalcedónová,,,,way
"Champs Elysées",,,,way
Charkovská,,,,way
Chemická,,,,way
Chladná,,,,way
Chlumeckého,,,,way
"Chodník k Písanému kameňu",,,,way
Chotárna,,,,way
Chrasťová,,,,way
Chrenová,,,,way
Chrobákova,,,,way
Chvojnícka,,,,way
Cígeľská,,,,way
Cintorínska,,,,way
Cintulova,,,,way
Ciroková,,,,way
Citrínová,,,,way
"City Gate Passage",,,,way
Colnícka,,,,way
Csenárova,,,,way
Cukrová,,,,way
Cyprichova,,,,way
"Daliborovo námestie",,,,way
Damborského,,,,way
Dankovského,,,,way
Dargovská,,,,way
Delená,,,,way
"Delená cesta",,,,way
Demänovská,,,,way
Desiata,,,,way
Detvianska,,,,way
Devätinová,,,,way
Deviata,,,,way
"Devínska cesta",,,,way
"Devínske Jazero",,,,way
Diamantová,,,,way
Dlhá,,,,way
"Dlhé diely I",,,,way
"Dlhé diely II",,,,way
"Dlhé diely III",,,,way
Dneperská,,,,way
Dobrovičova,,,,way
Dobrovského,,,,way
Dohnalova,,,,way
Doležalova,,,,way
Dolichénska,,,,way
Dolná,,,,way
"Dolnozemská cesta",,,,way
Domašská,,,,way
Domiciánova,,,,way
"Dominika Tatarku",,,,way
Domkárska,,,,way
"Domové role",,,,way
Donnerova,,,,way
Donovalova,,,,way
Donská,,,,way
Dopravná,,,,way
Dorastenecká,,,,way
Dražická,,,,way
Drevená,,,,way
Drieňová,,,,way
"Drieňovská hrebeňovka",,,,way
Drobného,,,,way
Dropia,,,,way
"Drotárska cesta",,,,way
Drozdová,,,,way
Druhá,,,,way
Druidská,,,,way
Družicová,,,,way
Družobná,,,,way
Družstevná,,,,way
Dubáková,,,,way
Dubnická,,,,way
Dubová,,,,way
"Dúbravská cesta",,,,way
Dúbravčická,,,,way
